corridor_id,direction,vol_share,median_ticket_inr,qr_compat,staff_readiness_prior,dominant_mccs
IN_AE,OUT,0.32,2400,0.92,0.8,"RETAIL,GROCERY,FNB,TRANSPORT"
IN_SG,OUT,0.13,3100,0.88,0.78,"FNB,RETAIL,TRANSIT"
IN_NP,OUT,0.12,620,0.94,0.85,"MICRO_RETAIL,FNB,TRANSPORT"
IN_QA,OUT,0.08,2050,0.8,0.7,"RETAIL,HOSPITALITY"
IN_BT,OUT,0.06,780,0.9,0.88,"HOSPITALITY,FNB,SOUVENIR"
IN_LK,OUT,0.05,1150,0.45,0.55,"FNB,TOURIST_RETAIL"
IN_FR,OUT,0.04,6800,0.55,0.6,"DEPT_STORE,MUSEUM,LANDMARK"
IN_MU,OUT,0.03,1900,0.5,0.52,"HOSPITALITY,TOURIST_RETAIL"
IN_KH,OUT,0.02,940,0.85,0.72,"MICRO_RETAIL,FNB"
OTHER_R2,OUT,0.15,5400,,,"HOTEL,ECOM,EDUCATION,MEDICAL"
