merchant_id,country,mcc_code,merchant_tier,acquirer_partner_id,terminal_type,qr_format,cross_border_enabled_date,staff_readiness_true,footfall_index,merchant_cohort_true
M_619ef6a366,FOREIGN,8099,T2,ACQ_08,DYNAMIC_QR,EMVCo,2025-09-25,0.576,6.22,M-1
M_97f73ddebd,FOREIGN,5411,T2,ACQ_02,STATIC_QR,EMVCo,2026-01-08,0.652,2.52,M-1
M_59ebceeac5,FOREIGN,8220,T2,ACQ_04,POS,EMVCo,2026-02-10,0.697,1.95,M-1
M_d2b14d7c7a,FOREIGN,5944,T3,ACQ_06,STATIC_QR,EMVCo,2025-02-05,0.551,1.3,M-5
M_cb9262c668,IN,7991,T2,ACQ_02,DYNAMIC_QR,EMVCo,2024-09-13,0.818,2.37,M-2
M_6319f41881,FOREIGN,5411,T1,ACQ_03,DYNAMIC_QR,EMVCo,2025-03-21,0.476,2.55,M-2
M_26135adaf5,FOREIGN,8220,T3,ACQ_04,POS,EMVCo,2025-06-11,0.989,2.63,M-1
M_b262f8909d,FOREIGN,5411,T1,ACQ_05,POS,EMVCo,,0.779,0.25,M-3
M_994c256885,IN,8220,T3,ACQ_07,POS,EMVCo,2024-11-02,0.82,3.95,M-1
M_d0e99739af,IN,8099,T2,ACQ_03,POS,PROPRIETARY,2024-10-13,0.15,3.15,M-2
M_12608aae0b,FOREIGN,8062,T3,ACQ_03,DYNAMIC_QR,EMVCo,2025-12-28,0.466,3.0,M-4
M_7b24ce5fc8,IN,7011,T1,ACQ_08,STATIC_QR,EMVCo,,0.835,7.16,M-3
M_1548fb6a25,FOREIGN,4111,T3,ACQ_06,DYNAMIC_QR,EMVCo,2024-10-31,0.883,2.91,M-4
M_dd5e4d104b,IN,4111,T2,ACQ_08,STATIC_QR,EMVCo,2025-02-12,0.201,2.2,M-2
M_a765ab3203,FOREIGN,5999,T1,ACQ_03,DYNAMIC_QR,PROPRIETARY,,0.964,6.6,M-3
M_c139fea93b,FOREIGN,5411,T2,ACQ_01,STATIC_QR,EMVCo,,0.885,2.5,M-3
M_993ff48400,FOREIGN,5812,T2,ACQ_06,STATIC_QR,EMVCo,,0.638,2.09,M-3
M_c23c4f2f00,FOREIGN,5944,T2,ACQ_07,STATIC_QR,EMVCo,,0.914,5.94,M-3
M_337d33127a,IN,5310,T3,ACQ_07,DYNAMIC_QR,EMVCo,2025-09-16,0.735,2.51,M-5
M_f96da3b67c,FOREIGN,4111,T3,ACQ_05,DYNAMIC_QR,EMVCo,2025-10-23,0.628,0.78,M-4
M_bb74b2626d,FOREIGN,7991,T2,ACQ_03,POS,EMVCo,2026-03-21,0.716,2.81,M-5
M_9bb6cdf659,FOREIGN,5941,T2,ACQ_05,STATIC_QR,EMVCo,2025-11-02,0.901,2.66,M-1
M_d83ae521fd,FOREIGN,5411,T1,ACQ_03,STATIC_QR,EMVCo,2024-11-01,0.225,0.17,M-2
M_5141bbfac3,IN,7011,T3,ACQ_06,DYNAMIC_QR,PROPRIETARY,2026-05-18,0.637,3.92,M-1
M_05cddd529b,FOREIGN,8220,T2,ACQ_06,POS,PROPRIETARY,,0.653,0.76,M-3
M_cbeda2c687,FOREIGN,7991,T2,ACQ_01,STATIC_QR,EMVCo,2025-12-03,0.94,2.11,M-1
M_bbc4530e47,FOREIGN,8220,T2,ACQ_03,DYNAMIC_QR,EMVCo,2024-08-13,0.689,6.28,M-1
M_f4f081af23,FOREIGN,5941,T3,ACQ_04,DYNAMIC_QR,EMVCo,2025-12-28,0.255,1.94,M-1
M_86602df495,FOREIGN,8220,T1,ACQ_08,DYNAMIC_QR,EMVCo,,0.778,0.8,M-3
M_3dcfb2ff1c,IN,5999,T3,ACQ_01,ECOM_SDK,EMVCo,,0.616,5.28,M-3
M_bbb74374d5,FOREIGN,8220,T2,ACQ_08,POS,EMVCo,2025-02-24,0.737,2.03,M-2
M_038f65bfef,FOREIGN,5309,T3,ACQ_05,POS,PROPRIETARY,2025-03-29,0.746,2.06,M-1
M_17635fe47a,FOREIGN,8062,T2,ACQ_01,STATIC_QR,EMVCo,2026-04-16,0.742,0.05,M-1
M_74db88ad29,FOREIGN,7011,T2,ACQ_07,DYNAMIC_QR,EMVCo,2025-06-08,0.429,6.93,M-2
M_1262da45de,FOREIGN,8220,T2,ACQ_07,STATIC_QR,EMVCo,,0.79,5.99,M-3
M_908759cc2b,FOREIGN,5944,T2,ACQ_01,STATIC_QR,EMVCo,,0.528,0.59,M-3
M_b92a1ad4a6,FOREIGN,5300,T2,ACQ_07,STATIC_QR,EMVCo,2026-03-14,0.593,3.12,M-4
M_1bf57f40d7,FOREIGN,5411,T2,ACQ_06,DYNAMIC_QR,EMVCo,,0.772,0.95,M-3
M_ca184ce320,FOREIGN,8062,T2,ACQ_05,STATIC_QR,EMVCo,2024-10-30,0.95,0.45,M-1
M_ded1dc37df,FOREIGN,5310,T2,ACQ_07,DYNAMIC_QR,PROPRIETARY,2026-02-18,0.773,1.29,M-1
M_6f5f5e7bf0,FOREIGN,5999,T2,ACQ_01,DYNAMIC_QR,EMVCo,2025-02-12,0.15,1.82,M-2
M_e0e61a50ee,IN,5944,T2,ACQ_08,STATIC_QR,EMVCo,2024-12-11,0.819,1.24,M-1
M_30a34a5b5d,FOREIGN,8062,T1,ACQ_05,DYNAMIC_QR,PROPRIETARY,2025-02-23,0.877,2.29,M-4
M_534639ad86,FOREIGN,8099,T1,ACQ_05,DYNAMIC_QR,EMVCo,,0.978,0.8,M-3
M_a826f506b6,FOREIGN,5309,T3,ACQ_06,STATIC_QR,EMVCo,,0.645,1.45,M-3
M_49c91bb99d,FOREIGN,7011,T1,ACQ_01,DYNAMIC_QR,PROPRIETARY,,0.643,5.1,M-3
M_2fac21e48b,FOREIGN,5310,T2,ACQ_07,DYNAMIC_QR,EMVCo,2025-09-09,0.614,0.14,M-1
M_0793d51602,FOREIGN,5300,T2,ACQ_07,STATIC_QR,PROPRIETARY,2025-01-08,0.826,2.07,M-4
M_e92068b11c,FOREIGN,5941,T2,ACQ_02,STATIC_QR,EMVCo,2026-04-10,0.822,1.95,M-4
M_6d9218f250,IN,5300,T1,ACQ_01,POS,EMVCo,2026-05-23,0.558,3.3,M-4
M_14c95bb46c,FOREIGN,7011,T1,ACQ_08,DYNAMIC_QR,EMVCo,2024-10-03,0.871,3.11,M-4
M_f357c9bf97,FOREIGN,8062,T1,ACQ_07,POS,PROPRIETARY,2026-06-20,0.446,3.25,M-2
M_d898e9f524,FOREIGN,8062,T2,ACQ_05,ECOM_SDK,EMVCo,2024-12-07,0.378,0.72,M-2
M_a2704ee0b8,FOREIGN,5411,T3,ACQ_02,DYNAMIC_QR,EMVCo,2026-06-03,0.783,0.96,M-1
M_6874609b82,FOREIGN,5812,T3,ACQ_08,POS,PROPRIETARY,2026-06-25,0.767,5.12,M-4
M_92395b73c1,IN,7011,T3,ACQ_08,DYNAMIC_QR,EMVCo,,0.687,3.07,M-3
M_4272fe3faf,FOREIGN,5300,T2,ACQ_08,POS,EMVCo,,0.699,2.96,M-3
M_84dd88ffbb,FOREIGN,8062,T2,ACQ_04,DYNAMIC_QR,EMVCo,2025-02-05,0.545,4.08,M-4
M_fad04d1efb,FOREIGN,8099,T2,ACQ_06,STATIC_QR,EMVCo,2026-01-26,0.596,0.94,M-4
M_821d7a6bf1,FOREIGN,5941,T2,ACQ_02,STATIC_QR,EMVCo,2026-04-11,0.471,0.39,M-2
M_c6f2179e94,FOREIGN,5310,T2,ACQ_04,STATIC_QR,EMVCo,2025-10-13,0.841,1.11,M-2
M_a8ff36ccaf,IN,5944,T3,ACQ_05,DYNAMIC_QR,PROPRIETARY,2025-11-05,0.817,7.07,M-1
M_6ae11a8257,FOREIGN,5309,T1,ACQ_03,DYNAMIC_QR,PROPRIETARY,2026-02-16,0.883,1.44,M-1
M_2bdd2d400d,FOREIGN,5999,T3,ACQ_08,DYNAMIC_QR,EMVCo,,0.867,3.23,M-3
M_805085d2e9,FOREIGN,8220,T2,ACQ_05,STATIC_QR,EMVCo,2025-05-17,0.345,0.72,M-2
M_8afc8e1514,FOREIGN,4111,T2,ACQ_05,DYNAMIC_QR,EMVCo,2025-01-20,0.888,3.94,M-4
M_f63fa23590,FOREIGN,5941,T1,ACQ_08,DYNAMIC_QR,EMVCo,2026-01-01,0.849,6.36,M-1
M_1bb775da65,FOREIGN,8220,T3,ACQ_05,STATIC_QR,EMVCo,2025-04-07,0.785,3.03,M-4
M_4a560adfa6,IN,8099,T2,ACQ_01,DYNAMIC_QR,EMVCo,2024-10-24,0.588,1.5,M-4
