nba_event_id,user_id,attempt_id,trigger_id,action_id,channel,decision_ts,latency_ms,arbitration_winner,suppressed_reason,delivered,rendered_by_psp,cost_inr,acted_on
NBA_fff32e7a28,U_10a11fd7b7,ATT_2be0667e96,INTL_TOGGLE_OFF,ACT_O-3,IN_FLOW,2024-11-08T22:00:00,35.5,ACT_O-3,,True,True,0.0,True
NBA_22009d681e,U_10a11fd7b7,ATT_fb74357361,INTL_TOGGLE_OFF,ACT_O-3,IN_FLOW,2024-11-06T11:00:00,101.2,ACT_O-3,SLEEPING_DOG,True,False,0.0,False
NBA_e760daa69b,U_10a11fd7b7,ATT_bbb1a68232,USER_ABANDON_FX,ACT_O-3,IN_FLOW,2024-11-12T09:00:00,92.9,ACT_O-3,SLEEPING_DOG,True,True,0.0,True
NBA_66b51bcc0b,U_a92b3e924e,ATT_705cb526b1,RISK_BLOCK,ACT_O-1,IN_FLOW,2025-12-13T08:00:00,32.3,ACT_O-1,SLEEPING_DOG,True,False,0.0,False
NBA_db2da35314,U_a92b3e924e,ATT_c4c67d1571,RISK_BLOCK,ACT_O-1,APP_PUSH,2025-12-12T10:00:00,30.7,ACT_O-1,,True,True,0.02,True
NBA_572db3da28,U_f5f444dc64,ATT_024cb15d96,MERCHANT_ABANDON,ACT_O-2,APP_PUSH,2025-08-27T19:00:00,67.4,ACT_O-2,,True,True,0.02,False
NBA_20dbb83077,U_f5f444dc64,ATT_2fb6de9897,MERCHANT_ABANDON,ACT_O-2,IN_FLOW,2025-08-27T11:00:00,78.9,ACT_O-2,,True,True,0.0,False
NBA_b0a88c6b7b,U_f5f444dc64,ATT_217b62df88,USER_ABANDON_FX,ACT_O-2,IN_FLOW,2025-08-25T20:00:00,34.8,ACT_O-2,,True,True,0.0,True
NBA_a869ef9c9b,U_f5f444dc64,ATT_8a5b2b4707,TECH_DECLINE,ACT_O-2,IN_FLOW,2025-03-27T16:00:00,88.1,ACT_O-2,,True,True,0.0,True
NBA_37a381d18f,U_f5f444dc64,ATT_2f34b0c9ab,MERCHANT_ABANDON,ACT_O-2,IN_FLOW,2025-03-23T02:00:00,102.5,ACT_O-2,,True,True,0.0,False
NBA_b5145a62d7,U_f5f444dc64,ATT_30bccbabb9,QR_FORMAT_UNSUPPORTED,ACT_O-2,IN_FLOW,2025-03-26T01:00:00,48.6,ACT_O-2,,True,True,0.0,True
NBA_4f57e6987c,U_f5f444dc64,ATT_743c183c06,QR_FORMAT_UNSUPPORTED,ACT_O-2,IN_FLOW,2025-03-31T17:00:00,46.9,ACT_O-2,,True,True,0.0,False
NBA_fa61e4a705,U_f5f444dc64,ATT_8bb73b85b3,QR_FORMAT_UNSUPPORTED,ACT_O-2,IN_FLOW,2025-03-30T01:00:00,27.9,ACT_O-2,,True,True,0.0,False
NBA_b64cd38058,U_f5f444dc64,ATT_9483fe3868,TECH_DECLINE,ACT_O-2,IN_FLOW,2025-03-25T12:00:00,99.9,ACT_O-2,,True,True,0.0,True
NBA_819ab76926,U_f5f444dc64,ATT_229ea6e679,USER_ABANDON_FX,ACT_O-2,IN_FLOW,2025-03-20T19:00:00,38.1,ACT_O-2,,True,True,0.0,False
NBA_6476d4f12e,U_f4c9a503e4,ATT_4a1facf510,INTL_TOGGLE_OFF,ACT_O-2,IN_FLOW,2024-09-29T22:00:00,22.1,ACT_O-2,SLEEPING_DOG,True,True,0.0,False
NBA_095586a18c,U_f4c9a503e4,ATT_47cc7ac562,INTL_TOGGLE_OFF,ACT_O-2,IN_FLOW,2024-09-28T08:00:00,24.1,ACT_O-2,SLEEPING_DOG,True,True,0.0,False
NBA_a1b646d78f,U_f4c9a503e4,ATT_9266bf9e14,INTL_TOGGLE_OFF,ACT_O-2,WA_MARKETING,2025-12-31T01:00:00,48.4,ACT_O-2,SLEEPING_DOG,True,True,0.75,False
NBA_1baa78bc1b,U_f4c9a503e4,ATT_402ef36017,INTL_TOGGLE_OFF,ACT_O-2,IN_FLOW,2026-01-01T13:00:00,26.6,ACT_O-2,SLEEPING_DOG,True,True,0.0,False
NBA_0d876e01d4,U_f4c9a503e4,ATT_9d8eaf6764,INTL_TOGGLE_OFF,ACT_O-2,IN_FLOW,2025-12-31T11:00:00,88.9,ACT_O-2,SLEEPING_DOG,True,True,0.0,False
NBA_e7c8e00762,U_f4c9a503e4,ATT_f230c40366,INTL_TOGGLE_OFF,ACT_O-2,IN_FLOW,2025-12-31T21:00:00,37.3,ACT_O-2,SLEEPING_DOG,True,True,0.0,False
NBA_6e527ea726,U_f4c9a503e4,ATT_72da8c9d86,INTL_TOGGLE_OFF,ACT_O-2,WA_UTILITY,2025-12-31T06:00:00,94.2,ACT_O-2,SLEEPING_DOG,True,True,0.13,False
NBA_66986a5fca,U_f4c9a503e4,ATT_7ee7111e5d,INTL_TOGGLE_OFF,ACT_O-2,WA_UTILITY,2026-01-01T18:00:00,90.7,ACT_O-2,SLEEPING_DOG,True,True,0.13,False
NBA_979e3b8274,U_f4c9a503e4,ATT_6a394301ca,INTL_TOGGLE_OFF,ACT_O-2,APP_PUSH,2025-12-31T17:00:00,72.0,ACT_O-2,SLEEPING_DOG,True,True,0.02,False
NBA_f494e49b09,U_f4c9a503e4,ATT_761a56e5d6,USER_ABANDON_FX,ACT_O-2,SMS,2025-12-31T01:00:00,21.8,ACT_O-2,SLEEPING_DOG,True,True,0.18,False
NBA_4a43e9b5e4,U_1a2965c880,ATT_f85a56a9eb,MERCHANT_ABANDON,ACT_O-4,APP_PUSH,2024-09-12T15:00:00,62.2,ACT_O-4,,True,True,0.02,False
NBA_713bc24f18,U_1a2965c880,ATT_1bf9aa40f7,MERCHANT_ABANDON,ACT_O-4,WA_UTILITY,2024-09-12T04:00:00,92.9,ACT_O-4,,True,True,0.13,False
NBA_fe6aa19fee,U_1a2965c880,ATT_1fdcdb96c9,QR_FORMAT_UNSUPPORTED,ACT_O-4,IN_FLOW,2024-09-18T07:00:00,62.0,ACT_O-4,,True,True,0.0,True
NBA_5fc7163f04,U_1a2965c880,ATT_4d12f62136,QR_FORMAT_UNSUPPORTED,ACT_O-4,IN_FLOW,2024-09-17T13:00:00,5.4,ACT_O-4,,True,True,0.0,True
NBA_8c3ddab5b6,U_1a2965c880,ATT_da471083fb,PROACTIVE,ACT_O-4,WA_MARKETING,2024-09-17T08:00:00,65.5,ACT_O-4,,True,True,0.75,False
NBA_165d90e026,U_1a2965c880,ATT_631fd13d28,QR_FORMAT_UNSUPPORTED,ACT_O-4,WA_UTILITY,2024-09-12T18:00:00,70.9,ACT_O-4,,True,True,0.13,True
NBA_47e3306391,U_29c3498d97,ATT_36def65c74,INTL_TOGGLE_OFF,ACT_O-5,WA_UTILITY,2024-12-15T03:00:00,26.9,ACT_O-5,SLEEPING_DOG,True,True,0.13,False
NBA_f8f0c150a9,U_29c3498d97,ATT_2fb9948d49,INTL_TOGGLE_OFF,ACT_O-5,IN_FLOW,2024-12-14T00:00:00,6.3,ACT_O-5,SLEEPING_DOG,True,True,0.0,False
NBA_da559bbf5c,U_29c3498d97,ATT_2dd6953b6f,INTL_TOGGLE_OFF,ACT_O-5,IN_FLOW,2024-12-16T23:00:00,103.5,ACT_O-5,,True,True,0.0,False
NBA_077ab87380,U_10b6b121e9,ATT_3e96341154,QR_FORMAT_UNSUPPORTED,ACT_O-5,IN_FLOW,2024-10-22T09:00:00,71.8,ACT_O-5,,True,True,0.0,True
NBA_0dd1497488,U_10b6b121e9,ATT_47bf777261,PROACTIVE,ACT_O-5,IN_FLOW,2024-10-15T21:00:00,175.5,ACT_O-5,SLEEPING_DOG,True,False,0.0,False
NBA_0dc69d82c1,U_10b6b121e9,ATT_756cf58dc1,MERCHANT_ABANDON,ACT_O-5,IN_FLOW,2024-10-22T09:00:00,31.2,ACT_O-5,,True,True,0.0,False
NBA_a48dbd460c,U_10b6b121e9,ATT_72b8be15f7,MERCHANT_ABANDON,ACT_O-5,SMS,2025-09-17T11:00:00,32.3,ACT_O-5,SLEEPING_DOG,True,True,0.18,False
NBA_c24b7dcf5f,U_10b6b121e9,ATT_252c7b974c,MERCHANT_ABANDON,ACT_O-5,IN_FLOW,2025-09-18T02:00:00,63.1,ACT_O-5,,True,True,0.0,True
