trip_id,user_id,direction,corridor_pair,purpose,start_date,end_date,party_size,budget_inr,is_first_trip_to_corridor
TRIP_754110a654,U_fa624bccc8,OUT,IN_NP,TRANSIT,2025-07-11,2025-07-19,4,6801.0,True
TRIP_b6bc032196,U_afac4a04f8,OUT,IN_AE,EVENT,2025-12-31,2026-01-02,1,34190.0,True
TRIP_193cefa12d,U_10a11fd7b7,OUT,OTHER_R2,MEDICAL,2024-11-05,2024-11-14,1,9208.0,True
TRIP_be724f25ab,U_a92b3e924e,OUT,IN_LK,VFR,2025-12-11,2025-12-19,3,22429.0,True
TRIP_a36c9a0388,U_a92b3e924e,OUT,IN_AE,MEDICAL,2025-02-06,2025-02-13,2,18952.0,True
TRIP_03a1b96c84,U_a92b3e924e,OUT,IN_QA,EVENT,2024-10-25,2024-11-04,4,6497.0,True
TRIP_8b5bb1af8a,U_f5f444dc64,OUT,OTHER_R2,EDUCATION,2025-08-25,2025-08-28,3,7087.0,True
TRIP_0c9a26d37d,U_f5f444dc64,OUT,IN_KH,VFR,2025-03-20,2025-04-02,4,7706.0,True
TRIP_4a15131b81,U_f4c9a503e4,OUT,IN_BT,LEISURE,2024-09-25,2024-10-07,2,10432.0,True
TRIP_3c7dd6b948,U_f4c9a503e4,OUT,IN_AE,LEISURE,2025-12-31,2026-01-02,3,9181.0,True
TRIP_8de4d5929e,U_1a2965c880,OUT,IN_MU,EDUCATION,2024-09-10,2024-09-22,1,18664.0,True
TRIP_1268931a8a,U_29c3498d97,OUT,IN_AE,LEISURE,2024-12-14,2024-12-17,3,23467.0,True
TRIP_5a4ba5aad5,U_10b6b121e9,OUT,IN_BT,VFR,2024-10-14,2024-10-27,3,25251.0,True
TRIP_91f72608dc,U_10b6b121e9,OUT,OTHER_R2,LEISURE,2025-09-13,2025-09-20,2,12272.0,True
TRIP_1d1a179533,U_10b6b121e9,OUT,IN_SG,LEISURE,2025-01-19,2025-01-30,1,2556.0,True
TRIP_53fd118d7c,U_1e33acf6f2,OUT,IN_AE,LEISURE,2025-01-02,2025-01-13,1,6281.0,True
TRIP_57cd741dd8,U_1e33acf6f2,OUT,IN_LK,LEISURE,2026-06-26,2026-07-04,1,11900.0,True
TRIP_aee16fc2c0,U_1e33acf6f2,OUT,IN_SG,EDUCATION,2026-04-23,2026-05-04,3,7569.0,True
TRIP_92d5c5ee07,U_9f1a8645df,OUT,IN_BT,LEISURE,2025-04-13,2025-04-18,4,5439.0,True
TRIP_89c49fb023,U_f6568ebeb6,OUT,OTHER_R2,MEDICAL,2025-04-24,2025-05-03,1,8724.0,True
TRIP_65a9c399be,U_8f0591f34a,OUT,IN_SG,BUSINESS,2025-06-16,2025-06-23,4,28663.0,True
TRIP_cd30457cf4,U_8f0591f34a,OUT,IN_AE,BUSINESS,2025-11-04,2025-11-06,3,26294.0,True
TRIP_69a7f0df97,U_90f28c5ac2,OUT,OTHER_R2,LEISURE,2025-12-10,2025-12-14,2,46268.0,True
TRIP_f94de878a7,U_90f28c5ac2,OUT,IN_BT,EDUCATION,2025-07-02,2025-07-15,1,6132.0,True
TRIP_b7c496f6d3,U_0b23ae4d04,OUT,IN_AE,MEDICAL,2026-02-20,2026-02-25,2,21083.0,True
TRIP_a6bdd94b83,U_0b23ae4d04,OUT,IN_AE,MEDICAL,2025-10-31,2025-11-14,2,24569.0,False
TRIP_dfe9aa0095,U_0b23ae4d04,OUT,OTHER_R2,MEDICAL,2024-11-28,2024-12-05,1,12399.0,True
TRIP_238421f59f,U_c36c23baca,OUT,IN_AE,EVENT,2025-08-15,2025-08-20,4,41259.0,True
TRIP_9d38298532,U_c23ac7f498,OUT,IN_BT,MEDICAL,2024-09-24,2024-10-02,3,34560.0,True
TRIP_05c9933e46,U_c23ac7f498,OUT,IN_QA,LEISURE,2024-10-21,2024-11-01,4,20936.0,True
TRIP_98bb674172,U_cc67657053,OUT,IN_LK,LEISURE,2025-11-21,2025-11-29,1,8015.0,True
TRIP_9def6df0ba,U_cc67657053,OUT,IN_BT,LEISURE,2026-04-02,2026-04-09,4,25251.0,True
TRIP_80c6a9bbbb,U_058c3338a3,OUT,IN_SG,MEDICAL,2026-02-01,2026-02-04,2,12917.0,True
TRIP_70c59f7be7,U_935241c0df,OUT,IN_AE,MEDICAL,2025-01-12,2025-01-21,4,18878.0,True
TRIP_f15242e295,U_935241c0df,OUT,IN_NP,BUSINESS,2026-04-06,2026-04-15,2,21891.0,True
TRIP_a7dff813e4,U_84a218dfc3,OUT,IN_QA,VFR,2025-12-24,2026-01-07,1,11016.0,True
TRIP_397743f199,U_020f53a751,OUT,IN_NP,LEISURE,2025-06-19,2025-06-29,1,7917.0,True
TRIP_ee08127695,U_9c19236920,OUT,OTHER_R2,LEISURE,2024-08-26,2024-09-05,3,8358.0,True
TRIP_303d23746b,U_6248293760,OUT,IN_AE,LEISURE,2025-09-08,2025-09-20,2,27550.0,True
TRIP_b47dda23b7,U_5f136b9a20,OUT,IN_AE,EDUCATION,2026-02-12,2026-02-19,3,21360.0,True
TRIP_520beadd18,U_5f136b9a20,OUT,IN_LK,EDUCATION,2024-10-13,2024-10-19,2,17737.0,True
TRIP_375c3d401f,U_5f136b9a20,OUT,IN_AE,EDUCATION,2024-09-01,2024-09-10,4,14710.0,True
TRIP_85d76e8a22,U_bcd2fc48f7,OUT,IN_SG,VFR,2025-04-03,2025-04-17,2,2554.0,True
TRIP_efc9792784,U_bcd2fc48f7,OUT,OTHER_R2,LEISURE,2025-05-01,2025-05-09,4,6986.0,True
TRIP_d5c01c3b47,U_0ab2159f49,OUT,IN_SG,LEISURE,2025-06-27,2025-07-07,2,11665.0,True
TRIP_9f1c600612,U_e5e6a9ad66,OUT,IN_QA,BUSINESS,2025-06-23,2025-07-05,1,14987.0,True
TRIP_0d12d1c9a5,U_e5e6a9ad66,OUT,IN_AE,VFR,2025-05-19,2025-05-27,3,6335.0,True
TRIP_2822036222,U_72dfd2ad1f,OUT,IN_SG,LEISURE,2026-02-03,2026-02-06,1,4354.0,True
TRIP_b878b08fb8,U_72dfd2ad1f,OUT,IN_MU,LEISURE,2024-08-20,2024-08-25,4,3575.0,True
TRIP_c765b1f810,U_72dfd2ad1f,OUT,OTHER_R2,PILGRIMAGE,2025-04-19,2025-04-23,4,13389.0,True
TRIP_4518a21ad7,U_1191b974e5,OUT,IN_BT,PILGRIMAGE,2026-01-20,2026-01-25,1,6951.0,True
TRIP_4efaa2cd91,U_1191b974e5,OUT,OTHER_R2,TRANSIT,2025-10-20,2025-10-22,3,7845.0,True
TRIP_db4d5453af,U_1191b974e5,OUT,IN_AE,BUSINESS,2024-10-26,2024-10-30,4,83639.0,True
TRIP_2347b1aa37,U_1191b974e5,OUT,IN_FR,PILGRIMAGE,2026-06-15,2026-06-19,2,8707.0,True
TRIP_47fd13b35a,U_1fb68f15a4,OUT,OTHER_R2,EDUCATION,2026-05-06,2026-05-13,1,7868.0,True
TRIP_2bd3e728e8,U_91f38ae6dc,OUT,IN_NP,LEISURE,2024-11-01,2024-11-09,2,16865.0,True
