ledger_id,user_id,event,amount_inr,fx_source_currency,balance_after_inr,ts,channel
WAL_1a70f5ad5a,U_a2b56abfcb,LOAD,23991.43,LK,23991.43,2025-12-29T10:00:00,APP
WAL_bbb8aa3214,U_a2b56abfcb,SPEND,-2922.87,LK,21068.56,2026-01-03T23:00:00,QR
WAL_e671b8c4a4,U_a2b56abfcb,SPEND,-2176.89,LK,18891.67,2026-01-03T02:00:00,QR
WAL_37259dedb4,U_a2b56abfcb,SPEND,-976.75,LK,17914.92,2025-12-29T22:00:00,QR
WAL_0006008350,U_a2b56abfcb,SPEND,-434.45,LK,17480.47,2026-01-03T00:00:00,QR
WAL_2408555d84,U_a2b56abfcb,SPEND,-1496.67,LK,15983.8,2025-12-30T10:00:00,QR
WAL_b5dd8b9a21,U_a2b56abfcb,SPEND,-1060.44,LK,14923.36,2025-12-28T04:00:00,QR
WAL_22df8d4f81,U_a2b56abfcb,SPEND,-1002.71,LK,13920.65,2026-01-02T08:00:00,QR
WAL_e80a14d8d9,U_a2b56abfcb,SPEND,-1150.71,LK,12769.94,2026-01-03T09:00:00,QR
WAL_03567a5ea4,U_a2b56abfcb,SPEND,-723.7,LK,12046.24,2025-12-27T16:00:00,QR
WAL_566e49d8df,U_a2b56abfcb,SPEND,-1402.16,LK,10644.08,2025-12-27T12:00:00,QR
WAL_f02bc338c5,U_a2b56abfcb,SPEND,-1648.8,LK,8995.28,2025-12-30T03:00:00,QR
WAL_5d74380c24,U_a2b56abfcb,SPEND,-683.98,LK,8311.3,2025-12-30T03:00:00,QR
WAL_9010617870,U_a2b56abfcb,SPEND,-2040.18,LK,6271.12,2025-12-26T14:00:00,QR
WAL_76f17c3b53,U_a2b56abfcb,SPEND,-2264.51,LK,4006.61,2026-01-03T23:00:00,QR
WAL_29e5814bf2,U_a2b56abfcb,SPEND,-850.55,LK,3156.06,2026-01-02T23:00:00,QR
WAL_7c03bc85d6,U_a2b56abfcb,SPEND,-2561.21,LK,594.85,2025-12-30T03:00:00,QR
