attempt_id,trip_id,user_id,direction,rail_id,cohort_id,source_country,entity_type,stay_days,lifecycle_stage,mcc_code,mcc_desc,psp_id,issuer_id,terminal_type,wallet_state,value_tier,ticket_inr,currency,date,cohort_week,attempt_number,is_repeat,treatment_arm,nba_action_id,nba_channel,nba_cost_inr,tau_true,baseline_propensity_true,h1_kyc_status,h1_kyc_duration_sec,h2_wallet_status,h2_wallet_duration_sec,h3_balance_status,h3_balance_duration_sec,h4_limit_status,h4_limit_duration_sec,h5_merchant_status,h5_merchant_duration_sec,h6_tech_status,h6_tech_duration_sec,h7_departure_refund_status,h7_departure_refund_duration_sec,wallet_balance_at_departure_inr,final_outcome,drop_stage,drop_reason_category,drop_reason_detail,total_time_minutes,gmv_inr,nipl_revenue_inr,net_contribution_inr
IATT_104c0161ce,ITRP_e810747db9,INUSR_537444cfda,IN,R3,I-1,BD,FOREIGN_NATIONAL,23,IN_TRIP,4121,Transport/Taxi,BHIM,PPIISSR04,DYNAMIC_QR,FUNDED,MID,4065.57,INR,2024-09-25,2024-W39,1,False,TREAT,ACT_DEPARTURE_REFUND,push_kiosk,0.02,0.2655,0.6254,success,75.05,success,8.69,success,2.64,success,2.84,success,3.63,success,0.79,not_reached,5.02,0,converted,,,,3.4,4065.57,0.8131,0.7931
IATT_565983682a,ITRP_e810747db9,INUSR_d27c6e8fd6,IN,R3,I-1,OTHER,OCI,22,IN_TRIP,5812,Restaurants,BHIM,PPIISSR04,DYNAMIC_QR,FUNDED,LOW,1094.43,INR,2024-11-16,2024-W46,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.0813,0.6328,success,21.2,drop_wallet_not_loaded,5.24,not_reached,4.25,not_reached,2.64,not_reached,2.14,not_reached,1.64,not_reached,3.8,0,dropped,H2_WALLET_LOAD,user_abandon,WALLET_NOT_LOADED,2.45,0.0,0.0,-0.02
IATT_8834fda060,ITRP_e810747db9,INUSR_529da0d136,IN,R3,I-1,AU,FOREIGN_NATIONAL,7,IN_TRIP,5812,Restaurants,BHIM,PPIISSR01,POS,FUNDED,LOW,590.86,INR,2025-02-03,2025-W06,1,False,TREAT,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,0.3876,0.4058,success,16.03,success,14.82,success,2.65,success,1.29,success,3.8,success,4.25,not_reached,3.22,0,converted,,,,1.65,590.86,0.1182,0.1182
IATT_f31b66392e,ITRP_58b282df60,INUSR_f6461147f0,IN,R3,I-1,FR,FOREIGN_NATIONAL,15,PRE_TRIP,5947,Gift/Souvenir,PHONEPE,PPIISSR02,STATIC_QR,FUNDED,LOW,1921.56,INR,2024-12-26,2024-W52,1,False,TREAT,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,0.1384,0.594,success,55.73,success,3.56,success,4.12,success,2.84,drop_merchant_abandon,14.03,not_reached,3.68,not_reached,3.94,0,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,3.02,0.0,0.0,0.0
IATT_040db0ebc6,ITRP_58b282df60,INUSR_52f66cec5b,IN,R3,I-1,GB,OCI,11,IN_TRIP,7011,Hotels,PHONEPE,PPIISSR02,STATIC_QR,FUNDED,MID,4509.96,INR,2025-03-16,2025-W11,1,False,CONTROL,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,0.0143,0.699,success,45.62,drop_wallet_not_loaded,17.33,not_reached,3.79,not_reached,2.19,not_reached,14.73,not_reached,3.23,not_reached,2.25,0,dropped,H2_WALLET_LOAD,user_abandon,WALLET_NOT_LOADED,3.36,0.0,0.0,0.0
IATT_a5b3fd45ef,ITRP_58b282df60,INUSR_e268450198,IN,R3,I-1,GB,OCI,8,DEPARTURE,5812,Restaurants,PHONEPE,PPIISSR01,POS,FUNDED,LOW,1918.7,INR,2024-12-01,2024-W48,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.4259,0.2636,success,8.9,success,3.83,success,0.63,success,2.96,drop_merchant_abandon,9.43,not_reached,2.79,success,1.34,419.38,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,1.47,0.0,0.0,-0.02
IATT_d5a60c4ed4,ITRP_58b282df60,INUSR_9c827225ab,IN,R4,I-3,CA,NRI,7,IN_TRIP,7011,Hotels,GPAY,PPIISSR03,DYNAMIC_QR,UNLOADED,MID,14070.83,INR,2026-05-21,2026-W21,1,False,CONTROL,ACT_REACTIVATION_INR,in_app,0.0,-0.0024,0.8817,success,47.8,success,18.28,success,2.23,success,2.23,success,11.49,success,0.72,not_reached,3.73,0,converted,,,,2.66,14070.83,2.8142,2.8142
IATT_ab7990c01d,ITRP_513674a197,INUSR_8080a6ceaf,IN,R4,I-3,SG,NRI,5,DEPARTURE,7011,Hotels,BHIM,PPIISSR04,STATIC_QR,FUNDED,MID,10047.4,INR,2025-04-20,2025-W16,1,False,TREAT,ACT_REACTIVATION_INR,in_app,0.0,0.45,0.5345,success,47.2,success,18.78,success,1.03,success,0.37,drop_merchant_abandon,7.5,not_reached,4.93,drop_refund_not_initiated,2.13,3906.34,dropped,H5_MERCHANT,user_abandon,MERCHANT_ABANDON,2.53,0.0,0.0,0.0
IATT_d69bb41cbb,ITRP_513674a197,INUSR_57ca172ef1,IN,R3,I-1,OTHER,OCI,14,IN_TRIP,5812,Restaurants,PHONEPE,PPIISSR02,POS,UNLOADED,MID,3713.98,INR,2025-04-16,2025-W16,1,False,TREAT,ACT_TOPUP_PROMPT,app_push,0.02,0.0499,0.6878,drop_kyc_not_completed,33.17,not_reached,17.29,not_reached,2.07,not_reached,2.94,not_reached,9.48,not_reached,2.04,not_reached,1.52,0,dropped,H1_KYC_ONBOARD,user_abandon,KYC_NOT_COMPLETED,2.36,0.0,0.0,-0.02
IATT_550bdd2834,ITRP_513674a197,INUSR_9459d26640,IN,R3,I-1,SG,FOREIGN_NATIONAL,10,DEPARTURE,5812,Restaurants,GPAY,PPIISSR01,DYNAMIC_QR,UNLOADED,LOW,1851.07,INR,2026-04-25,2026-W17,1,False,CONTROL,ACT_GUIDED_FIRST_LOAD,onboarding,0.0,0.1471,0.4995,success,46.72,drop_wallet_not_loaded,16.79,not_reached,4.63,not_reached,1.1,not_reached,13.38,not_reached,1.37,drop_refund_not_initiated,1.63,3946.22,dropped,H2_WALLET_LOAD,user_abandon,WALLET_NOT_LOADED,3.31,0.0,0.0,0.0
