user_id,journey_type,source_country,onboarding_channel,traveller_type,device,date,trip_days,onboarding_status,onboarding_duration_sec,kyc_verification_status,kyc_verification_duration_sec,wallet_funding_status,wallet_funding_duration_sec,payment_p2m_status,payment_p2m_duration_sec,authentication_status,authentication_duration_sec,exit_refund_status,exit_refund_duration_sec,final_outcome,drop_stage,drop_reason_category,drop_reason_detail,total_time_minutes,cohort_week,attempt_number,is_repeat,attempt_id
IN-00001,inbound,UK,Authorized Issuer App,Business Traveller,iOS,2026-05-15,7,drop_user_abandon,51.7,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,user_abandon,Did not discover product before/during trip,51.7,2026-W20,1,False,IN-00001-A1
IN-00002,inbound,UAE,Authorized Issuer App,Tourist,iOS,2026-05-12,7,success,12.3,drop_business_decline,60.5,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,business_decline,Visa-type not supported / manual review reject,72.8,2026-W20,1,False,IN-00002-A1
IN-00003,inbound,USA,Hotel Partner Onboarding,Student,Android,2026-07-02,3,success,24.9,drop_user_abandon,20.2,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,user_abandon,Gave up after repeated scan failures,45.1,2026-W27,1,False,IN-00003-A1
IN-00004,inbound,USA,Airport Kiosk,Tourist,Android,2026-05-10,21,success,45.2,success,17.6,success,4.3,success,12.8,success,1.8,success,16.9,converted,,,,98.6,2026-W19,1,False,IN-00004-A1
IN-00005,inbound,Australia,Authorized Issuer App,Tourist,iOS,2026-07-25,7,success,18.8,success,17.0,success,10.6,success,4.5,success,6.4,success,51.6,converted,,,,108.9,2026-W30,1,False,IN-00005-A1
IN-00006,inbound,UAE,Authorized Issuer App,Tourist,iOS,2026-06-07,5,success,25.8,success,8.4,success,21.1,success,7.5,success,8.5,drop_business_decline,107.4,dropped,exit_refund,business_decline,FEMA refund rule required manual review,178.7,2026-W23,1,False,IN-00006-A1
IN-00007,inbound,USA,Airport Kiosk,Tourist,iOS,2026-05-18,5,success,35.0,drop_technical_fail,93.0,not_reached,,not_reached,,not_reached,,not_reached,,dropped,kyc_verification,technical_fail,Passport OCR failed to parse non-standard format,128.0,2026-W21,1,False,IN-00007-A1
IN-00008,inbound,Mauritius,Authorized Issuer App,NRI,Android,2026-07-26,3,drop_business_decline,25.1,not_reached,,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding,business_decline,Source country not in eligible pilot list,25.1,2026-W30,1,False,IN-00008-A1
IN-00009,inbound,Nepal,Authorized Issuer App,Tourist,iOS,2026-07-20,3,success,14.5,success,8.6,success,59.3,success,10.0,success,8.3,success,34.7,converted,,,,135.4,2026-W30,1,False,IN-00009-A1
IN-00010,inbound,Nepal,Airport Kiosk,NRI,Android,2026-07-29,5,success,28.0,success,72.9,success,46.0,success,2.0,success,4.4,success,56.7,converted,,,,210.0,2026-W31,1,False,IN-00010-A1
