merchant_id,country,mcc_desc,merchant_cohort,cross_border_enabled,staff_readiness,footfall_index,txns_per_week,failure_rate,acquirer_partner_id
MER_3c630869c7,IN-QA,Transit,M-2,True,0.838,0.431,11,0.204,ACQ05
MER_a7cc8533be,IN,Hotels,M-1,True,0.376,0.639,0,0.576,ACQ06
MER_238a6f5820,IN,Transit,M-2,True,0.673,0.765,23,0.404,ACQ05
MER_79afb7fbbb,IN-NP,Hotels,M-3,False,0.634,0.806,0,0.4,ACQ02
MER_9ec19c81e5,IN-NP,Transit,M-2,True,0.713,0.64,6,0.345,ACQ05
MER_a65d6cf770,IN-KH,Museum/Attraction,M-3,False,0.866,0.125,0,0.053,ACQ02
MER_1470602a4b,IN-MU,Hotels,M-4,True,0.968,0.139,16,0.055,ACQ06
MER_1e8f2d48b8,IN-FR,Hotels,M-1,True,0.776,0.416,0,0.218,ACQ05
MER_a84ebd2747,IN-LK,Museum/Attraction,M-2,True,0.795,0.635,5,0.259,ACQ05
MER_64d2552fb8,IN,Museum/Attraction,M-3,False,0.851,0.451,0,0.22,ACQ03
MER_2723513506,IN-LK,Hotels,M-2,True,0.816,0.857,18,0.236,ACQ02
MER_7ac6457884,IN,Grocery/Retail,M-2,True,0.734,0.337,18,0.276,ACQ06
MER_f26feca42a,IN-KH,Transit,M-3,False,0.817,0.664,0,0.182,ACQ06
MER_94eac518a5,IN-SG,Hotels,M-4,True,0.822,0.745,29,0.091,ACQ04
MER_a0e3fee577,IN,Hotels,M-4,True,0.905,0.598,20,0.045,ACQ05
MER_82b650ebb0,IN-BT,Hotels,M-2,True,0.59,0.334,11,0.437,ACQ03
MER_80a074a63c,IN-MU,Hotels,M-2,True,0.772,0.506,32,0.311,ACQ05
MER_ea23a21bdf,IN-FR,Dept Store,M-3,False,0.41,0.252,0,0.588,ACQ02
MER_aff542e693,IN-LK,Hotels,M-3,False,0.71,0.173,0,0.307,ACQ01
MER_c70f1d7856,IN-AE,Hotels,M-2,True,0.626,0.583,25,0.352,ACQ02
MER_15d9a03ac9,IN-SG,Hotels,M-4,True,0.96,0.48,22,0.115,ACQ02
MER_81c3033ccf,IN-QA,Hotels,M-3,False,0.479,0.242,0,0.496,ACQ04
MER_d4b62531a8,IN,Misc Retail,M-1,True,0.819,0.89,0,0.152,ACQ03
MER_b4fd99c3f5,IN-SG,Hotels,M-2,True,0.637,0.493,2,0.404,ACQ02
MER_2c24d4d32c,IN-FR,Hotels,M-2,True,0.673,0.79,8,0.336,ACQ01
MER_44e18dce71,IN-LK,Hotels,M-1,True,0.858,0.827,16,0.129,ACQ06
MER_7be1774a5f,IN-SG,Gift/Souvenir,M-3,False,0.681,0.987,0,0.299,ACQ04
MER_59a9b08606,IN-AE,Restaurants,M-4,True,0.978,0.845,10,0.02,ACQ03
MER_a39b51056b,IN-AE,Grocery/Retail,M-3,False,0.806,0.941,0,0.174,ACQ01
MER_302dc23876,IN-NP,Hotels,M-2,True,0.739,0.824,25,0.328,ACQ03
MER_b6ddcb2a97,IN-FR,Hotels,M-2,True,0.73,0.269,5,0.258,ACQ03
MER_362374c867,IN-QA,Hotels,M-2,True,0.644,0.18,29,0.374,ACQ05
MER_cea769930d,IN-KH,Hotels,M-1,True,0.948,0.244,0,0.065,ACQ05
MER_031f759984,IN,Grocery/Retail,M-2,True,0.659,0.978,42,0.416,ACQ05
MER_539ef044c4,IN-MU,Restaurants,M-2,True,0.605,0.347,12,0.304,ACQ05
MER_a8cdb519c9,IN-KH,Misc Retail,M-1,True,0.933,0.34,0,0.099,ACQ05
MER_f6d2f60188,IN-NP,Hotels,M-1,True,0.886,0.634,1,0.106,ACQ05
MER_174a799fa4,IN-AE,Hotels,M-3,False,0.564,0.207,0,0.331,ACQ04
MER_8ed4393180,IN-KH,Gift/Souvenir,M-1,True,0.627,0.236,0,0.288,ACQ03
MER_2528bb3645,IN,Museum/Attraction,M-1,True,0.825,0.356,15,0.196,ACQ05
MER_7b0e662403,IN-FR,Hotels,M-3,False,0.825,0.717,0,0.1,ACQ04
MER_41f55cd538,IN-QA,Hotels,M-3,False,0.963,0.267,0,0.02,ACQ03
MER_97e5eebb29,IN-KH,Grocery/Retail,M-2,True,0.58,0.117,12,0.448,ACQ05
MER_0279330512,IN-AE,Hotels,M-2,True,0.453,0.514,29,0.464,ACQ05
MER_bb816a3d06,IN-AE,Hotels,M-3,False,0.527,0.232,0,0.494,ACQ02
