user_id,journey_type,corridor,partner_app,channel,device,date,amount_inr,onboarding_eligibility_status,onboarding_eligibility_duration_sec,beneficiary_merchant_discovery_status,beneficiary_merchant_discovery_duration_sec,quote_fx_acceptance_status,quote_fx_acceptance_duration_sec,authentication_status,authentication_duration_sec,payment_settlement_status,payment_settlement_duration_sec,final_outcome,drop_stage,drop_reason_category,drop_reason_detail,total_time_minutes,cohort_week,attempt_number,is_repeat,attempt_id
OUT-00001,outbound,India-UAE,Paytm,P2M-QR,iOS,2026-05-08,2500.0,drop_business_decline,14.7,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,business_decline,FEMA/residency eligibility check failed,14.7,2026-W19,1,False,OUT-00001-A1
OUT-00002,outbound,India-Nepal,GPay,P2M-QR,Android,2026-05-17,10000.0,success,18.8,success,8.5,success,14.4,drop_business_decline,8.9,not_reached,,dropped,authentication,business_decline,Risk engine false-positive block,50.6,2026-W20,1,False,OUT-00002-A1
OUT-00003,outbound,India-Bhutan,GPay,P2M-QR,Android,2026-06-19,10000.0,success,9.6,success,31.1,success,8.0,success,16.9,success,22.2,converted,,,,87.8,2026-W25,1,False,OUT-00003-A1
OUT-00004,outbound,India-Singapore,BHIM,P2M-QR,Android,2026-07-12,10000.0,success,21.6,success,31.5,drop_technical_fail,11.3,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,64.4,2026-W28,1,False,OUT-00004-A1
OUT-00005,outbound,India-UAE,PhonePe,P2M-QR,Android,2026-05-11,10000.0,success,15.1,success,35.0,success,30.4,success,3.5,success,16.7,converted,,,,100.7,2026-W20,1,False,OUT-00005-A1
OUT-00006,outbound,India-UAE,BHIM,P2P-Linkage,Android,2026-06-06,25000.0,success,9.9,success,28.5,success,23.7,success,9.3,success,2.7,converted,,,,74.1,2026-W23,1,False,OUT-00006-A1
OUT-00007,outbound,India-France,PhonePe,P2P-Linkage,iOS,2026-05-11,10000.0,success,31.8,success,8.7,success,12.7,success,13.8,success,3.7,converted,,,,70.7,2026-W20,1,False,OUT-00007-A1
OUT-00008,outbound,India-Nepal,Paytm,P2M-QR,Android,2026-05-13,10000.0,success,15.3,success,35.9,success,5.5,success,7.3,success,12.6,converted,,,,76.6,2026-W20,1,False,OUT-00008-A1
OUT-00009,outbound,India-Sri Lanka,BHIM,P2P-Linkage,Android,2026-06-13,5000.0,success,18.1,success,24.4,success,9.9,success,11.3,success,2.7,converted,,,,66.4,2026-W24,1,False,OUT-00009-A1
OUT-00010,outbound,India-UAE,PhonePe,P2M-QR,iOS,2026-07-24,2500.0,success,4.5,success,74.4,drop_business_decline,7.5,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,86.4,2026-W30,1,False,OUT-00010-A1
OUT-00011,outbound,India-Sri Lanka,PhonePe,P2M-QR,Android,2026-07-29,2500.0,success,15.2,drop_business_decline,18.2,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,business_decline,Corridor not live for this merchant category,33.4,2026-W31,1,False,OUT-00011-A1
OUT-00012,outbound,India-Nepal,PhonePe,P2P-Linkage,Android,2026-06-06,2500.0,success,15.3,success,58.0,success,12.2,success,25.3,success,10.9,converted,,,,121.7,2026-W23,1,False,OUT-00012-A1
OUT-00013,outbound,India-France,BHIM,P2M-QR,Android,2026-05-13,2500.0,success,1.4,success,6.4,drop_business_decline,31.5,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,39.3,2026-W20,1,False,OUT-00013-A1
OUT-00014,outbound,India-UAE,BHIM,P2P-Linkage,Android,2026-05-12,5000.0,success,19.7,success,11.0,success,19.1,success,11.9,success,7.1,converted,,,,68.8,2026-W20,1,False,OUT-00014-A1
OUT-00015,outbound,India-Nepal,BHIM,P2P-Linkage,Android,2026-06-29,25000.0,success,1.2,success,12.9,success,15.5,success,37.2,success,48.1,converted,,,,114.9,2026-W27,1,False,OUT-00015-A1
OUT-00016,outbound,India-UAE,Bank-Native App,P2M-QR,Android,2026-05-06,25000.0,success,11.0,success,14.7,success,13.8,success,6.3,success,16.9,converted,,,,62.7,2026-W19,1,False,OUT-00016-A1
OUT-00017,outbound,India-Mauritius,BHIM,P2P-Linkage,iOS,2026-06-18,2500.0,success,48.7,success,10.4,success,6.0,success,14.2,success,20.9,converted,,,,100.2,2026-W25,1,False,OUT-00017-A1
OUT-00018,outbound,India-UAE,PhonePe,P2P-Linkage,Android,2026-07-12,25000.0,success,10.9,success,0.8,success,20.8,success,12.8,success,27.4,converted,,,,72.7,2026-W28,1,False,OUT-00018-A1
OUT-00019,outbound,India-Nepal,PhonePe,P2M-QR,Android,2026-07-11,50000.0,success,29.6,success,27.6,success,17.5,success,3.4,success,15.8,converted,,,,93.9,2026-W28,1,False,OUT-00019-A1
OUT-00020,outbound,India-Mauritius,Paytm,P2M-QR,Android,2026-05-09,50000.0,success,4.5,success,31.6,drop_technical_fail,17.1,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,53.2,2026-W19,1,False,OUT-00020-A1
OUT-00021,outbound,India-UAE,BHIM,P2M-QR,Android,2026-06-25,10000.0,success,16.7,success,56.9,drop_business_decline,25.5,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,99.1,2026-W26,1,False,OUT-00021-A1
OUT-00022,outbound,India-UAE,BHIM,P2M-QR,iOS,2026-06-29,10000.0,success,15.9,success,9.4,success,22.1,success,9.1,success,7.3,converted,,,,63.8,2026-W27,1,False,OUT-00022-A1
OUT-00023,outbound,India-Sri Lanka,BHIM,P2M-QR,iOS,2026-05-01,100000.0,success,54.7,success,56.6,success,39.9,success,2.0,success,22.0,converted,,,,175.2,2026-W18,1,False,OUT-00023-A1
OUT-00024,outbound,India-Bhutan,BHIM,P2P-Linkage,iOS,2026-05-10,5000.0,success,7.6,success,23.8,success,14.5,success,7.2,success,13.7,converted,,,,66.8,2026-W19,1,False,OUT-00024-A1
OUT-00025,outbound,India-Bhutan,Paytm,P2P-Linkage,Android,2026-05-26,2500.0,success,10.6,success,48.4,success,41.0,success,6.1,success,11.2,converted,,,,117.3,2026-W22,1,False,OUT-00025-A1
OUT-00026,outbound,India-Bhutan,BHIM,P2M-QR,Android,2026-07-28,10000.0,success,12.0,success,12.0,drop_technical_fail,9.6,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,33.6,2026-W31,1,False,OUT-00026-A1
OUT-00027,outbound,India-Sri Lanka,Bank-Native App,P2M-QR,iOS,2026-06-21,5000.0,success,27.7,drop_business_decline,26.5,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,business_decline,Corridor not live for this merchant category,54.2,2026-W25,1,False,OUT-00027-A1
OUT-00028,outbound,India-France,Bank-Native App,P2M-QR,Android,2026-06-12,5000.0,success,6.4,success,25.3,success,1.7,success,7.9,success,6.4,converted,,,,47.7,2026-W24,1,False,OUT-00028-A1
OUT-00029,outbound,India-Sri Lanka,Paytm,P2M-QR,Android,2026-06-25,25000.0,success,4.7,success,23.7,drop_technical_fail,25.3,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,53.7,2026-W26,1,False,OUT-00029-A1
OUT-00030,outbound,India-Bhutan,BHIM,P2P-Linkage,Android,2026-06-16,5000.0,success,21.5,success,15.9,success,31.9,success,1.1,success,28.0,converted,,,,98.4,2026-W25,1,False,OUT-00030-A1
OUT-00031,outbound,India-Bhutan,Paytm,P2M-QR,iOS,2026-05-11,100000.0,success,8.3,success,15.7,success,29.1,success,5.6,drop_business_decline,6.3,dropped,payment_settlement,business_decline,Local PSP rejected settlement,65.0,2026-W20,1,False,OUT-00031-A1
OUT-00032,outbound,India-Mauritius,Paytm,P2M-QR,Android,2026-05-13,2500.0,success,16.2,success,8.7,success,3.5,success,21.8,success,2.7,converted,,,,52.9,2026-W20,1,False,OUT-00032-A1
OUT-00033,outbound,India-Bhutan,Paytm,P2M-QR,Android,2026-07-11,2500.0,success,22.0,success,29.9,drop_business_decline,15.6,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,67.5,2026-W28,1,False,OUT-00033-A1
OUT-00034,outbound,India-France,BHIM,P2P-Linkage,Android,2026-06-22,10000.0,success,12.6,success,10.3,success,14.7,success,11.5,success,18.3,converted,,,,67.4,2026-W26,1,False,OUT-00034-A1
OUT-00035,outbound,India-Nepal,BHIM,P2P-Linkage,Android,2026-06-27,5000.0,success,17.5,drop_technical_fail,15.8,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,technical_fail,Merchant QR/scheme not bridged to NIPL,33.3,2026-W26,1,False,OUT-00035-A1
OUT-00036,outbound,India-UAE,BHIM,P2M-QR,Android,2026-07-05,10000.0,drop_business_decline,4.3,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,business_decline,FEMA/residency eligibility check failed,4.3,2026-W27,1,False,OUT-00036-A1
OUT-00037,outbound,India-Bhutan,Bank-Native App,P2M-QR,Android,2026-07-07,2500.0,success,8.6,success,3.2,drop_user_abandon,39.1,not_reached,,not_reached,,dropped,quote_fx_acceptance,user_abandon,Rate/fee looked unclear or too high,50.9,2026-W28,1,False,OUT-00037-A1
OUT-00038,outbound,India-Bhutan,PhonePe,P2P-Linkage,Android,2026-07-23,5000.0,success,5.2,success,27.7,drop_business_decline,27.7,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,60.6,2026-W30,1,False,OUT-00038-A1
OUT-00039,outbound,India-Singapore,GPay,P2P-Linkage,Android,2026-06-25,10000.0,success,18.8,drop_user_abandon,49.4,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,user_abandon,"Incorrect PayNow ID / typo, gave up",68.2,2026-W26,1,False,OUT-00039-A1
OUT-00040,outbound,India-Bhutan,BHIM,P2P-Linkage,Android,2026-06-01,10000.0,success,10.6,success,30.4,success,27.4,success,7.6,success,2.5,converted,,,,78.5,2026-W23,1,False,OUT-00040-A1
OUT-00041,outbound,India-Nepal,Bank-Native App,P2M-QR,Android,2026-05-10,2500.0,success,16.9,success,45.3,drop_user_abandon,16.4,not_reached,,not_reached,,dropped,quote_fx_acceptance,user_abandon,Rate/fee looked unclear or too high,78.6,2026-W19,1,False,OUT-00041-A1
OUT-00042,outbound,India-Mauritius,PhonePe,P2P-Linkage,Android,2026-06-20,50000.0,success,16.3,success,35.9,drop_technical_fail,22.1,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,74.3,2026-W25,1,False,OUT-00042-A1
OUT-00043,outbound,India-Singapore,Paytm,P2P-Linkage,Android,2026-07-17,100000.0,success,9.3,success,53.4,drop_user_abandon,21.1,not_reached,,not_reached,,dropped,quote_fx_acceptance,user_abandon,Rate/fee looked unclear or too high,83.8,2026-W29,1,False,OUT-00043-A1
OUT-00044,outbound,India-UAE,GPay,P2P-Linkage,Android,2026-05-27,2500.0,success,5.9,success,16.4,success,34.2,success,15.0,success,14.8,converted,,,,86.3,2026-W22,1,False,OUT-00044-A1
OUT-00045,outbound,India-UAE,BHIM,P2M-QR,Android,2026-07-17,5000.0,success,21.7,success,18.5,success,3.8,success,12.4,success,5.4,converted,,,,61.8,2026-W29,1,False,OUT-00045-A1
OUT-00046,outbound,India-Singapore,GPay,P2M-QR,Android,2026-05-02,2500.0,success,23.5,success,39.9,success,2.3,success,31.4,success,6.8,converted,,,,103.9,2026-W18,1,False,OUT-00046-A1
OUT-00047,outbound,India-Mauritius,PhonePe,P2M-QR,Android,2026-07-22,100000.0,success,5.9,drop_user_abandon,27.7,not_reached,,not_reached,,not_reached,,dropped,beneficiary_merchant_discovery,user_abandon,"Incorrect PayNow ID / typo, gave up",33.6,2026-W30,1,False,OUT-00047-A1
OUT-00048,outbound,India-France,Paytm,P2M-QR,Android,2026-05-29,5000.0,success,8.4,success,60.5,drop_business_decline,40.9,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,109.8,2026-W22,1,False,OUT-00048-A1
OUT-00049,outbound,India-Singapore,Paytm,P2M-QR,Android,2026-07-02,100000.0,success,12.5,success,20.2,drop_technical_fail,14.2,not_reached,,not_reached,,dropped,quote_fx_acceptance,technical_fail,Quote latency / rate refresh timeout,46.9,2026-W27,1,False,OUT-00049-A1
OUT-00050,outbound,India-Singapore,Paytm,P2M-QR,Android,2026-05-05,10000.0,success,12.1,success,40.5,success,6.2,success,23.7,success,4.7,converted,,,,87.2,2026-W19,1,False,OUT-00050-A1
OUT-00051,outbound,India-Mauritius,BHIM,P2M-QR,iOS,2026-06-02,5000.0,success,16.8,success,24.5,success,43.0,drop_user_abandon,3.4,not_reached,,dropped,authentication,user_abandon,Abandoned at step-up authentication,87.7,2026-W23,1,False,OUT-00051-A1
OUT-00052,outbound,India-Mauritius,Paytm,P2P-Linkage,Android,2026-06-07,25000.0,success,17.9,success,14.7,drop_user_abandon,12.8,not_reached,,not_reached,,dropped,quote_fx_acceptance,user_abandon,Rate/fee looked unclear or too high,45.4,2026-W23,1,False,OUT-00052-A1
OUT-00053,outbound,India-Nepal,Paytm,P2M-QR,iOS,2026-07-28,25000.0,success,14.7,success,36.3,success,12.4,success,10.2,success,19.3,converted,,,,92.9,2026-W31,1,False,OUT-00053-A1
OUT-00054,outbound,India-France,GPay,P2P-Linkage,Android,2026-05-31,2500.0,success,14.2,success,5.6,success,16.1,success,16.7,success,1.8,converted,,,,54.4,2026-W22,1,False,OUT-00054-A1
OUT-00055,outbound,India-UAE,PhonePe,P2P-Linkage,iOS,2026-07-09,100000.0,drop_business_decline,4.5,not_reached,,not_reached,,not_reached,,not_reached,,dropped,onboarding_eligibility,business_decline,FEMA/residency eligibility check failed,4.5,2026-W28,1,False,OUT-00055-A1
OUT-00056,outbound,India-France,GPay,P2M-QR,Android,2026-06-08,25000.0,success,8.4,success,15.5,success,7.8,success,13.3,success,42.1,converted,,,,87.1,2026-W24,1,False,OUT-00056-A1
OUT-00057,outbound,India-UAE,BHIM,P2P-Linkage,Android,2026-05-11,5000.0,success,7.0,success,11.8,drop_business_decline,42.9,not_reached,,not_reached,,dropped,quote_fx_acceptance,business_decline,Amount exceeds corridor limit,61.7,2026-W20,1,False,OUT-00057-A1
